CAS,Chemical_Name,Percentage,Physical_State,AlphaTec_02-100,AlphaTec_Solvex_37-675,AlphaTec_38-001,AlphaTec_39-122.124,AlphaTec_53-002.003,AlphaTec_58-270,AlphaTec_58-530.535,DermaShield_73-701.711.721,TouchNTuff_92-600.605.93-300.700,MICROFLEX_93-260.360
110-82-7,Esaidrobenzene,100.0,L,>480,>480,10-30,>480,>480,>480,>480,7,>480,30-60
106-89-8,Epicloridrina (99%),100.0,L,>480,<10,>480,<10,60-120,<10,<10,<10,<10,<10
7681-52-9,eau de javel,15.0,L,>480,>480,>480,>480,>480,>480,>480,>480,>480,>480
108-65-6,Dowanol PMA,100.0,L,>480,132,>480,30-60,>480,30-60,60-120,<10,<10,10-30
107-98-2,Dowanol PM,100.0,L,>480,236,>480,13,>480,30-60,60-120,60-120,10-30,60-120
111-76-2,Dowanol EB,100.0,L,>480,240-480,>480,60-120,>480,60-120,120-240,60-120,10-30,60-120
142-82-5,DIPROPIL METANO,100.0,L,>480,>480,<10,>480,>480,>480,>480,10-30,>480,>480
64742-47-8,Distillati (petrolio) frazione leggera idrotrattata,100.0,L,>480,>480,10-30,>480,>480,>480,>480,30-60,>480,>480
75-15-0,Disolfuro di carbonio,100.0,L,>480,12,<10,<5,>480,<10,<10,<10,<10,1
7722-84-1,diossido di idrogeno,30.0,L,>480,>480,>480,>480,>480,>480,>480,>480,72,446
7681-49-4,DISODIO DIFLUORURO,4.0,L,>480,>480,>480,>480,>480,>480,>480,>480,>480,>480
123-91-1,Diossano,100.0,L,>480,10-30,>480,<10,>480,<10,10-30,<10,<10,10-30
67-63-0,dimetile carbinolo,100.0,L,>480,>480,>480,>480,>480,>480,>480,234,175,380
124-40-3,Dimetilammina (40% p/p),50.0,L,>480,120-240,>480,60-120,>480,60-120,120-240,30-60,30-60,60-120
624-49-7,dimetilfumarato,100.0,S,>480,>480,>480,>480,>480,>480,>480,240-480,240-480,>480
68-12-2,Dimetilformammide,100.0,L,>480,<5,>480,<10,222,<10,18,<10,<10,9
75-18-3,Dimetil solfuro,100.0,L,>480,<10,<10,<10,>480,<10,<10,<10,<10,<10
127-19-5,Dimethylacetamide,100.0,L,>480,18,>480,10-30,240-480,10-30,10-30,5,<10,<10
77-78-1,DIMETIL MONOSOLFATO,100.0,L,>480,60-120,>480,30-60,120-240,30-60,30-60,60-120,<10,30-60
109-89-7,Dietilammina,100.0,L,>480,17,<10,<5,>480,<10,28,<10,3,6
822-06-0,diisocianato di esametilene,100.0,L,>480,30-60,>480,10-30,>480,10-30,30-60,<10,<10,10-30
67-64-1,Dimethyl Ketone,100.0,L,>480,7,>480,<5,>480,<10,6,2,1,3
60-29-7,Diethyloxide,100.0,L,>480,30-60,<10,10-30,>480,10-30,30-60,<10,<10,10-30
110-85-0,Diethylenediamine,100.0,S,>480,>480,>480,>480,>480,>480,>480,>480,>480,>480
68334-30-5,Diesel LS,100.0,L,>480,>480,30-60,>480,>480,>480,>480,30-60,>480,>480
107-06-2,Dicloroetano 1,2-,100.0,L,>480,<10,10-30,<10,30-60,<10,<10,<10,<10,<10
26471-62-5,Desmodur T80,100.0,L,>480,120-240,>480,30-60,>480,30-60,120-240,10-30,10-30,40
110-05-4,di-t-butylperoxide,100.0,L,>480,>480,60-120,240-480,240-480,240-480,>480,60-120,120-240,240-480
127-18-4,DICLOROCARBENE,100.0,L,>480,136,<10,70,>480,60-120,133,<10,<10,60-120
67-68-5,DELTAN,100.0,L,>480,120-240,>480,30-60,>480,30-60,120-240,39,<10,93
111-42-2,DEA,100.0,L,>480,>480,>480,240-480,>480,240-480,>480,120-240,60-120,240-480
108-91-8,Cyclohexanamine,100.0,L,240-480,60-120,30-60,10-30,>480,10-30,30-60,<10,<10,10-30
98-82-8,Cumene,100.0,L,>480,30-60,<10,<10,>480,<10,10-30,<10,<10,10-30
7722-64-7,Condy's crystals,7.0,L,>480,>480,>480,>480,>480,>480,>480,>480,>480,>480
7647-14-5,Cloruro di sodio,100.0,S,>480,>480,>480,>480,>480,>480,>480,>480,>480,>480
141-43-5,COLAMMINA,100.0,L,>480,>480,>480,240-480,>480,240-480,>480,120-240,>480,120-240
8007-45-2,crude coal tar,100.0,L,>480,>480,>480,>480,>480,>480,>480,60-120,240-480,>480
1319-77-3,Cresoli misti,100.0,L,240-480,120-240,>480,30-60,>480,30-60,60-120,60-120,10-30,60-120
79-22-1,CLORURO DI METILMETANOATO,100.0,L,240-480,<10,>480,<10,30-60,<10,<10,<10,<10,<10
75-09-2,Cloruro di metilene,100.0,L,>480,<10,<10,<10,23,<10,<10,<10,<10,2
74-87-3,Cloruro di metile,100.0,G,240-480,10-30,<10,<10,<10,<10,<10,<10,<10,<10
7647-01-0,cloruro di idrogeno,37.0,L,>480,>480,>480,>480,>480,>480,>480,>480,30-60,>480
98-88-4,Cloruro di benzoile,100.0,L,240-480,<10,<10,<10,10-30,<10,<10,<10,<10,<10
7758-94-3,Cloruro di ferro (II),39.0,L,>480,>480,>480,>480,>480,>480,>480,>480,>480,>480
7705-08-0,Cloruro di ferro (III),50.0,L,>480,>480,>480,>480,>480,>480,>480,>480,>480,>480
7719-09-7,CLORURO DI FOSFORILE,100.0,L,10-30,<10,60-120,<10,<6,<10,<10,<10,<10,<10
100-44-7,Cloruro di benzile,100.0,L,>480,10-30,30-60,<10,60-120,<10,<10,<10,<10,<10
106-43-4,Clorotoluene p-,100.0,L,>480,10-30,<10,<10,>480,<10,10-30,<10,<10,<10
95-49-8,clorotoluene,100.0,L,>480,23,<10,<5,>480,<10,19,1,<10,<10
1330-20-7,Xylol isomeric mixture,100.0,L,>480,>480,10-30,>480,>480,>480,>480,<10,30-60,<10
1120-21-4,Undecane,100.0,L,>480,49,>480,10-30,22,>480,>480,10,24,12
1319-77-3,Tricresol,100.0,L,240-480,120-240,>480,30-60,>480,30-60,60-120,60-120,10-30,60-120
79-01-6,Tricloroetilene,100.0,L,>480,10-30,<10,<2,>480,<10,<10,<10,<10,<10
102-71-6,Trietanolammina,100.0,L,240-480,>480,>480,>480,>480,>480,>480,120-240,>480,>480
7705-08-0,Tricloruro di ferro,100.0,S,>480,>480,>480,>480,>480,>480,>480,>480,>480,>480
10025-78-2,Triclorosilano,100.0,L,240-480,10-30,<10,<10,120-240,<10,10-30,<10,<10,10-30
67-66-3,Trichloromethane,100.0,L,32,>480,<10,29,<10,30-60,<10,3,30,>480
123-86-4,THINNER NO. 66,100.0,L,<10,19,<10,27,<5,<10,<10,3,10-30,N.A.
624-49-7,trans-1,2-Ethylenedicarboxylic acid dimethyl ester,100.0,S,>480,>480,>480,>480,>480,>480,>480,240-480,240-480,>480
108-31-6,TOXILIC ANHYDRIDE,100.0,S,>480,>480,>480,>480,>480,>480,>480,>480,>480,>480
108-88-3,Toluolo,100.0,L,>480,23,<10,<5,>480,<10,19,<10,<10,6
56-23-5,Tetracloruro di carbonio,100.0,L,>480,>480,120-240,240-480,10-30,30-60,60-120,<10,<10,39
1634-04-4,Tert-Butyl Methyl Ether,100.0,L,>480,240-480,10-30,60-120,>480,30-60,120-240,<10,<10,67
110-05-4,tert-butil perossido,100.0,L,>480,>480,60-120,240-480,240-480,240-480,>480,60-120,120-240,240-480
584-84-9,TDI,100.0,L,>480,120-240,>480,30-60,>480,30-60,120-240,10-30,10-30,30-60
121-44-8,TEA,100.0,L,>480,>480,120-240,>480,>480,120-240,240-480,<10,>480,>480
7664-93-9,Sulphuric acid,100.0,L,>480,52,240-480,9,156,51,34,119,14,49
26471-62-5,TDI,100.0,L,>480,120-240,>480,30-60,>480,30-60,120-240,10-30,10-30,40
76-03-9,TCA,100.0,S,>480,10-30,240-480,<10,>480,<10,10-30,30-60,<10,10-30
7790-94-5,Sulphuric Chlorohydrin,100.0,L,60-120,<10,10-30,<10,10-30,<10,<10,<10,<10,<10
75-08-1,sulfidrato di etile,100.0,L,10-30,10-30,<10,<10,10-30,<10,<10,<10,<10,<10
497-19-8,Sodio carbonato,100.0,S,>480,>480,>480,>480,>480,>480,>480,>480,>480,>480
8052-41-3,Solvente Stoddard,100.0,L,>480,240-480,<10,120-240,>480,120-240,240-480,10-30,120-240,60-120
75-18-3,solfuro dimetile,100.0,L,>480,<10,<10,<10,>480,<10,<10,<10,<10,<10
1310-73-2,soda caustica,100.0,S,>480,>480,>480,>480,>480,>480,>480,>480,>480,>480
77-78-1,Solfato di dimetile,100.0,L,>480,60-120,>480,30-60,120-240,30-60,30-60,60-120,<10,30-60
67-56-1,spirito di legno,100.0,L,170,28,>480,4,>480,21,56,18,4,22
7681-49-4,Sodium Fluoride (saturated),100.0,S,>480,>480,>480,>480,>480,>480,>480,>480,>480,>480
7439-97-6,quicksilver,100.0,L,>480,>480,>480,>480,>480,>480,>480,120-240,240-480,>480
107-98-2,Propylene Glycol monomethylether,100.0,L,>480,236,>480,13,>480,30-60,60-120,60-120,10-30,60-120
109-60-4,Propyl acetate,100.0,L,>480,20,30-60,<10,>480,10-30,10-30,<10,<10,<10
107-12-0,Propionitrile,100.0,L,>480,10-30,>480,<10,>480,<10,<10,10-30,<10,10-30
107-10-8,Propilammina n-,100.0,L,>480,<10,<10,<10,>480,<10,<10,<10,<10,<10
115-07-1,Propene,100.0,G,240-480,60-120,<10,10-30,>480,10-30,30-60,<10,<10,<10
79-10-7,Propene Acid,100.0,L,>480,10,>480,35,136,10-30,10-30,60-120,<10,30-60
71-36-3,Propil carbinolo,100.0,L,>480,240-480,>480,>480,<5,>480,>480,7,60-120,<10
67-64-1,PROPANONE,100.0,L,10-30,>480,60-120,<10,10,>480,120-240,>480,>480,>480
123-75-1,Pirrolidina,100.0,L,>480,>480,240-480,323,>480,240-480,<10,<10,<10,>480
110-86-1,Piridina,100.0,L,>480,6,10-30,<10,240-480,>480,2,<10,1,60-120
71-23-8,Propanol,100.0,L,30-60,1,<10,<10,21,>480,3,<10,<10,200
79-09-4,Propanoic acid,100.0,L,60-120,60-120,30-60,>480,>480,30-60,30-60,30-60,10-30,30-60
25322-68-3,Polyethylene glycol molar mass <600,100.0,L,>480,>480,>480,>480,>480,>480,>480,>480,>480,>480
107-18-6,Piombo tetraetile,100.0,L,51,10-30,>480,<10,>480,>480,10-30,30-60,<10,<10
64742-82-1,PETROLEUM BENZINE 140-180°C EMPLURA,100.0,L,10-30,60-120,120-240,>480,>480,60-120,120-240,10-30,60-120,60-120
100-41-4,PHENYLETHANE,100.0,L,<10,<10,10-30,>480,>480,<10,23,<10,<10,<10
67-63-0,pertohol,100.0,L,>480,>480,>480,>480,>480,>480,>480,234,175,380
100-42-5,Phenyl ethylene,100.0,L,24,>480,10-30,8,<10,>480,19,<10,<10,<10
57-55-6,PGE,100.0,L,>480,>480,>480,>480,>480,>480,>480,240-480,>480,>480
7722-64-7,Permanganate of potash,100.0,S,>480,>480,>480,>480,>480,>480,>480,>480,>480,>480
7722-84-1,Perossido di idrogeno 10%,10.0,L,>480,>480,>480,>480,>480,>480,>480,>480,60-120,>480
76-05-1,Perfluoroacetic Acid,100.0,L,>480,>480,>480,>480,>480,10-30,>480,6,10-30,136
111-65-9,Ottano,100.0,L,>480,<10,<10,>480,<10,<10,>480,<10,<10,70
109-99-9,OSSOLANO,100.0,L,>480,>480,>480,>480,>480,<10,>480,<10,<10,60-120
123-91-1,p-diossano,100.0,L,<10,>480,<10,10-30,133,10-30,10-30,<10,<10,<10
127-18-4,Perchloroethylene,100.0,L,<10,>480,<10,<10,<10,10-30,>480,3,10-30,60-120
92062-35-6,Paraffina,100.0,S,>480,>480,10-30,>480,>480,>480,>480,30-60,>480,>480
108-65-6,PA 401 D,100.0,L,>480,132,>480,30-60,>480,30-60,60-120,<10,<10,10-30
106-43-4,p-chlorotoluene,100.0,L,>480,10-30,<10,<10,>480,<10,10-30,<10,<10,<10
75-21-8,Ossido di etilene (gas a 1 atmosfera),100.0,G,120-240,<10,<10,<10,>480,<10,<10,<10,<10,<10
7664-93-9,Olio di vitriolo 99%,99.0,L,>480,30-60,120-240,<10,120-240,30-60,10-30,60-120,<10,30-60
7719-09-7,OSSICLORURO DI FOSFORO,100.0,L,10-30,>480,>480,<10,30-60,>480,60-120,<10,60-120,<10
60-29-7,OSSIDO DI DIETILE,100.0,L,<6,>480,>480,<10,10-30,120-240,<10,30-60,>480,<10
1333-82-0,Ossido di cromo (IV),100.0,S,<10,30-60,>480,<10,<10,30-60,<10,<10,10-30,120-240
7664-38-2,Orthophosphoric Acid,100.0,L,>480,>480,>480,>480,>480,>480,>480,>480,>480,>480
62-53-3,olio di anilina,100.0,L,>480,30-60,>480,10-30,>480,10-30,30-60,<10,<10,10-30
8012-95-1,Olio minerale,100.0,L,>480,>480,10-30,>480,>480,>480,>480,30-60,>480,>480
106-89-8,OSSIDO DI CLOROPROILENE,100.0,L,>480,<10,>480,<10,60-120,<10,<10,<10,<10,<10
108-24-7,OSSIDO DI ACETILE,100.0,L,>480,<10,>480,<10,>480,<10,<10,10-30,<10,<10
7664-93-9,Olio di vitriolo 50%,50.0,L,>480,>480,>480,>480,>480,>480,>480,>480,>480,>480
8014-95-7,Oleum (20% p/p triossido di zolfo),20.0,L,240-480,10-30,60-120,<10,120-240,10-30,<10,30-60,<10,10-30
111-87-5,octanol,100.0,L,>480,>480,>480,240-480,>480,240-480,>480,240-480,>480,>480
95-53-4,o-Methylaniline,100.0,L,240-480,30-60,>480,10-30,>480,10-30,30-60,<10,<10,<10
872-50-4,NMP,100.0,L,240-480,10-30,>480,<10,366,<2,10-30,<10,<10,7
107-13-1,Nitrili di propilene,100.0,L,>480,<10,240-480,<10,60-120,<10,6,<10,<10,3
98-95-3,nitrobenzolo,100.0,L,>480,105,>480,30-60,>480,30-60,60-120,<10,<10,30-60
54-11-5,Nicotina,100.0,L,240-480,60-120,>480,30-60,240-480,30-60,60-120,<10,10-30,30-60
8030-30-6,Naphtha VM&P,100.0,L,>480,84,<10,>480,>480,>480,>480,10-30,240-480,>480
64742-48-9,Naphtha hydrotreated heavy,100.0,L,>480,>480,10-30,>480,>480,>480,>480,30-60,>480,>480
1310-73-2,NaOH,100.0,S,>480,>480,>480,>480,>480,>480,>480,>480,>480,>480
